model,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,rmse_gap,r2_gap
DecisionTreeRegressor,47916.93447735448,32636.80557579814,0.5681419085957835,51859.62635402667,32521.74109476246,0.44015466002442016,3942.6918766721865,0.12798724857136334
Lasso,37579.927737037746,25024.283191994462,0.7343713650419776,55589.82928555562,32792.13203643469,0.3567201001170739,18009.901548517875,0.37765126492490375
VotingRegressor,39305.718202221746,27103.803607901642,0.7094141373201123,50430.42360341202,30855.917117467467,0.47058708324031906,11124.705401190273,0.2388270540797932
